# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -0.000151699 0.000862816 0.000614722
-0.5000 -0.5000 1.5000 0.000464483 0.000862816 0.000862816
-0.5000 -0.5000 3.5000 -0.000107475 -0.000580879 -0.000308847
-0.5000 -0.5000 5.5000 -4.24613e-05 8.89909e-05 1.36662e-05
-0.5000 -0.5000 7.5000 -0.000196207 -3.10508e-06 4.16237e-05
-0.5000 -0.5000 9.5000 -0.00039162 0.000142908 -0.000428933
-0.5000 -0.5000 11.5000 -0.000464925 4.32753e-05 -0.000397066
-0.5000 1.5000 -0.5000 0.000252627 0.000862816 0.00069759
-0.5000 1.5000 1.5000 0.000461548 0.000862816 -0.000862816
-0.5000 1.5000 3.5000 -0.000114686 -0.00024068 -0.000862816
-0.5000 1.5000 5.5000 -0.000102811 9.5671e-05 -0.000862816
-0.5000 1.5000 7.5000 -0.000495275 4.28333e-05 -0.000862816
-0.5000 1.5000 9.5000 -0.000862816 0.000446163 -0.000862816
-0.5000 1.5000 11.5000 -0.000637509 0.000289368 -0.000847216
-0.5000 3.5000 -0.5000 1.61895e-05 -0.000808108 -0.000190246
-0.5000 3.5000 1.5000 -2.78054e-05 -9.8951e-05 0.000115556
-0.5000 3.5000 3.5000 4.03302e-05 -0.000157326 0.000259372
-0.5000 3.5000 5.5000 5.4008e-05 -1.93374e-05 0.000196581
-0.5000 3.5000 7.5000 -0.000125394 -3.16435e-05 6.70983e-05
-0.5000 3.5000 9.5000 -0.000697322 0.000337174 -0.000862816
-0.5000 3.5000 11.5000 0.000234925 -0.000119678 0.000749837
1.5000 -0.5000 -0.5000 -0.000862816 0.000862816 -0.000101128
1.5000 -0.5000 1.5000 -0.00038137 0.000862816 0.000267873
1.5000 -0.5000 3.5000 0.00025514 -0.000296102 0.000132957
1.5000 -0.5000 5.5000 3.97241e-05 0.000171594 6.9397e-06
1.5000 -0.5000 7.5000 0.000309459 -0.000100273 0.000255127
1.5000 -0.5000 9.5000 0.000862816 -0.000278397 0.000324721
1.5000 -0.5000 11.5000 0.000272862 -0.000260206 0.000711733
1.5000 1.5000 -0.5000 -0.000862816 0.000862816 0.000103697
1.5000 1.5000 1.5000 -0.000216204 0.000862816 -0.000410608
1.5000 1.5000 3.5000 0.000139084 -0.000312565 -0.000692806
1.5000 1.5000 5.5000 0.000110963 -0.000107591 -0.000862816
1.5000 1.5000 7.5000 0.000862816 -0.000501791 0.000665298
1.5000 1.5000 9.5000 0.000862816 -0.000862816 0.000862816
1.5000 1.5000 11.5000 0.000862816 -0.000862816 0.000862816
1.5000 3.5000 -0.5000 0.000277768 -5.9307e-05 3.57825e-05
1.5000 3.5000 1.5000 0.000122897 0.000273742 -1.75172e-05
1.5000 3.5000 3.5000 0.000123715 -0.000117173 0.000161174
1.5000 3.5000 5.5000 0.000257268 -5.04139e-05 -0.000145489
1.5000 3.5000 7.5000 0.000862816 -0.000436512 0.000862816
1.5000 3.5000 9.5000 0.000862816 -0.000862816 0.000862816
1.5000 3.5000 11.5000 0.000862816 -0.000862816 0.000862816
3.5000 -0.5000 -0.5000 0.00038518 -0.000820063 -0.000324909
3.5000 -0.5000 1.5000 7.05767e-05 -0.00018897 -0.000136188
3.5000 -0.5000 3.5000 -0.000462588 -4.86751e-05 -3.51245e-05
3.5000 -0.5000 5.5000 -0.000862816 0.00030672 -0.000690965
3.5000 -0.5000 7.5000 0.000142012 -2.02234e-05 0.000603252
3.5000 -0.5000 9.5000 0.000862816 0.000369529 0.000862816
3.5000 -0.5000 11.5000 -0.00015673 6.87306e-05 0.000862816
3.5000 1.5000 -0.5000 0.000168517 -8.05531e-05 -0.000199268
3.5000 1.5000 1.5000 5.7611e-05 0.000100636 -0.00022311
3.5000 1.5000 3.5000 -0.000862816 -0.000223795 0.000276774
3.5000 1.5000 5.5000 -0.000862816 0.000212651 -0.000673026
3.5000 1.5000 7.5000 -0.000862816 8.01713e-06 0.000862816
3.5000 1.5000 9.5000 -0.000862816 0.000862816 -0.000862816
3.5000 1.5000 11.5000 -0.000862816 0.000862816 -0.000862816
3.5000 3.5000 -0.5000 -0.000250705 -1.77706e-05 -0.000240413
3.5000 3.5000 1.5000 -0.000295677 0.000140669 -0.000337636
3.5000 3.5000 3.5000 -0.000568575 -1.88563e-05 -0.000197338
3.5000 3.5000 5.5000 -0.000231845 0.000276485 -0.000862816
3.5000 3.5000 7.5000 -0.000862816 0.000151167 0.000862816
3.5000 3.5000 9.5000 -0.000862816 0.000862816 -0.000862816
3.5000 3.5000 11.5000 -0.000862816 0.000862816 -0.000862816
5.5000 -0.5000 -0.5000 0.000117309 -0.000141941 -0.000139711
5.5000 -0.5000 1.5000 -9.57012e-05 0.000238286 2.46024e-05
5.5000 -0.5000 3.5000 -0.000200872 1.65221e-05 6.46634e-05
5.5000 -0.5000 5.5000 -0.000304509 0.000188931 -0.000694518
5.5000 -0.5000 7.5000 0.000862816 -0.000821284 0.000862816
5.5000 -0.5000 9.5000 0.000862816 -0.000862816 0.000862816
5.5000 -0.5000 11.5000 0.000862816 -0.000862816 0.000862816
5.5000 1.5000 -0.5000 -0.000155007 0.000120894 -6.8339e-05
5.5000 1.5000 1.5000 -0.000823355 0.000190393 -0.00028393
5.5000 1.5000 3.5000 -0.000862816 -2.23282e-05 6.01102e-05
5.5000 1.5000 5.5000 -0.000862816 0.000424996 -0.000862816
5.5000 1.5000 7.5000 -0.000862816 -0.000862816 0.000862816
5.5000 1.5000 9.5000 -0.000862816 0.000862816 -0.000862816
5.5000 1.5000 11.5000 -0.000862816 0.000862816 -0.000862816
5.5000 3.5000 -0.5000 0.000572341 -0.000216661 0.000674717
5.5000 3.5000 1.5000 0.000307826 -6.49465e-05 0.000337026
5.5000 3.5000 3.5000 0.00044968 -0.000295354 0.000862816
5.5000 3.5000 5.5000 0.000862816 -0.000219797 0.000580237
5.5000 3.5000 7.5000 0.000862816 -0.000862816 0.000862816
5.5000 3.5000 9.5000 -0.000862816 0.000862816 -0.000862816
5.5000 3.5000 11.5000 0.000862816 -0.000629897 0.000862816
