# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 0.153525 4 1.36308
-0.5000 -0.5000 1.5000 3.62073 4 4
-0.5000 -0.5000 3.5000 -1.03895 -4 -1.90642
-0.5000 -0.5000 5.5000 -0.295034 0.20701 -0.647703
-0.5000 -0.5000 7.5000 -1.26002 -0.218161 -1.02941
-0.5000 -0.5000 9.5000 -2.45253 0.894962 -3.86135
-0.5000 -0.5000 11.5000 -2.91156 0.306271 -2.63329
-0.5000 1.5000 -0.5000 2.70013 4 4
-0.5000 1.5000 1.5000 3.64571 4 4
-0.5000 1.5000 3.5000 -0.596804 -2.16767 -0.347564
-0.5000 1.5000 5.5000 -0.392304 0.7241 -0.0281346
-0.5000 1.5000 7.5000 -2.89025 0.495491 -1.6556
-0.5000 1.5000 9.5000 -4 2.67 -4
-0.5000 1.5000 11.5000 -3.92296 1.7541 -4
-0.5000 3.5000 -0.5000 -0.199308 -4 -1.25573
-0.5000 3.5000 1.5000 -0.198099 -0.918694 -0.0235626
-0.5000 3.5000 3.5000 0.351245 -0.645942 0.333781
-0.5000 3.5000 5.5000 0.424018 0.0573841 0.471639
-0.5000 3.5000 7.5000 -0.701723 0.0211705 -0.051104
-0.5000 3.5000 9.5000 -4 2.12548 -4
-0.5000 3.5000 11.5000 1.48224 -0.707514 4
1.5000 -0.5000 -0.5000 -4 4 -3.05759
1.5000 -0.5000 1.5000 -1.91592 4 0.729334
1.5000 -0.5000 3.5000 1.15188 -2.0898 1.17136
1.5000 -0.5000 5.5000 -0.117252 0.882969 -0.0823022
1.5000 -0.5000 7.5000 1.51188 -0.62006 1.2913
1.5000 -0.5000 9.5000 4 -1.58601 4
1.5000 -0.5000 11.5000 1.65608 -1.59655 4
1.5000 1.5000 -0.5000 -4 4 -0.278547
1.5000 1.5000 1.5000 -1.17932 4 0.639877
1.5000 1.5000 3.5000 0.690598 -2.10266 1.45957
1.5000 1.5000 5.5000 0.142412 0.263594 -1.15215
1.5000 1.5000 7.5000 4 -2.76539 4
1.5000 1.5000 9.5000 4 -4 4
1.5000 1.5000 11.5000 4 -4 4
1.5000 3.5000 -0.5000 1.35687 -1.78447 0.868542
1.5000 3.5000 1.5000 0.487671 -0.20421 0.340036
1.5000 3.5000 3.5000 0.564142 -0.581447 1.12862
1.5000 3.5000 5.5000 1.13214 -0.1148 -0.294136
1.5000 3.5000 7.5000 4 -2.81409 4
1.5000 3.5000 9.5000 4 -4 4
1.5000 3.5000 11.5000 4 -4 4
3.5000 -0.5000 -0.5000 1.06513 -4 -1.41381
3.5000 -0.5000 1.5000 0.229857 -1.44015 -0.588498
3.5000 -0.5000 3.5000 -0.984944 -0.534092 -0.39198
3.5000 -0.5000 5.5000 -3.55179 1.58418 -4
3.5000 -0.5000 7.5000 2.81012 -0.331823 2.80028
3.5000 -0.5000 9.5000 4 2.31175 4
3.5000 -0.5000 11.5000 -0.801844 0.451361 4
3.5000 1.5000 -0.5000 -0.0397886 -2.22878 -0.956471
3.5000 1.5000 1.5000 0.414207 -0.854531 -1.41436
3.5000 1.5000 3.5000 -1.61653 -0.677098 -0.216519
3.5000 1.5000 5.5000 -0.89913 1.73937 -4
3.5000 1.5000 7.5000 -4 -0.365886 4
3.5000 1.5000 9.5000 -4 4 -4
3.5000 1.5000 11.5000 -4 4 -4
3.5000 3.5000 -0.5000 -1.12074 -0.136626 -1.51033
3.5000 3.5000 1.5000 -1.4877 0.643124 -2.25063
3.5000 3.5000 3.5000 -2.86995 0.400047 -1.52004
3.5000 3.5000 5.5000 -0.675629 1.83699 -4
3.5000 3.5000 7.5000 -4 0.771307 4
3.5000 3.5000 9.5000 -4 4 -4
3.5000 3.5000 11.5000 -4 4 -4
5.5000 -0.5000 -0.5000 -0.0606064 -0.698945 -0.861056
5.5000 -0.5000 1.5000 0.332006 0.719597 0.414888
5.5000 -0.5000 3.5000 0.270168 -0.61957 1.0678
5.5000 -0.5000 5.5000 -0.447909 0.706703 -3.04817
5.5000 -0.5000 7.5000 4 -4 4
5.5000 -0.5000 9.5000 4 -4 4
5.5000 -0.5000 11.5000 4 -4 4
5.5000 1.5000 -0.5000 -0.539333 0.867821 -0.30458
5.5000 1.5000 1.5000 -0.897376 1.12839 -1.15484
5.5000 1.5000 3.5000 -2.45045 -0.0991462 0.426848
5.5000 1.5000 5.5000 1.12357 2.45856 -4
5.5000 1.5000 7.5000 -4 -4 4
5.5000 1.5000 9.5000 -4 4 -4
5.5000 1.5000 11.5000 -4 4 -4
5.5000 3.5000 -0.5000 3.36218 -1.14325 4
5.5000 3.5000 1.5000 1.96727 -0.286555 2.04603
5.5000 3.5000 3.5000 2.7825 -1.5699 4
5.5000 3.5000 5.5000 4 -1.24686 3.36914
5.5000 3.5000 7.5000 4 -4 4
5.5000 3.5000 9.5000 -4 4 -4
5.5000 3.5000 11.5000 4 -3.89746 4
