# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -0.105524 0.102033 0.212271
-0.5000 -0.5000 1.5000 -0.00253415 0.212271 0.212271
-0.5000 -0.5000 3.5000 0.0165993 -0.0245229 -0.0382028
-0.5000 -0.5000 5.5000 -0.00263072 0.0382558 0.0599632
-0.5000 -0.5000 7.5000 -0.0203785 0.0154562 0.107539
-0.5000 -0.5000 9.5000 -0.0456414 0.0166554 0.0435487
-0.5000 -0.5000 11.5000 -0.0541882 0.00223687 -0.0345964
-0.5000 1.5000 -0.5000 -0.0595554 0.212271 0.0924871
-0.5000 1.5000 1.5000 -0.00632769 0.212271 -0.212271
-0.5000 1.5000 3.5000 -0.0230314 0.0245193 -0.212271
-0.5000 1.5000 5.5000 -0.0320059 0.00120343 -0.212271
-0.5000 1.5000 7.5000 -0.0745515 -0.0130969 -0.212271
-0.5000 1.5000 9.5000 -0.147904 0.0618776 -0.212271
-0.5000 1.5000 11.5000 -0.0798275 0.0383473 -0.0723549
-0.5000 3.5000 -0.5000 0.0258226 -0.113608 -0.0170535
-0.5000 3.5000 1.5000 -0.00133278 0.0122694 0.0729497
-0.5000 3.5000 3.5000 -0.00315451 -0.0453458 0.13296
-0.5000 3.5000 5.5000 -0.000534702 -0.0164614 0.0833679
-0.5000 3.5000 7.5000 -0.021266 -0.0211477 0.0453402
-0.5000 3.5000 9.5000 -0.0856802 0.0381881 -0.0790034
-0.5000 3.5000 11.5000 0.0265028 -0.0172892 0.102125
1.5000 -0.5000 -0.5000 -0.212271 0.212271 0.18119
1.5000 -0.5000 1.5000 -0.0820519 0.212271 0.106693
1.5000 -0.5000 3.5000 0.0652334 -0.015767 -0.0114831
1.5000 -0.5000 5.5000 0.0337659 0.035254 0.0107948
1.5000 -0.5000 7.5000 0.0699853 -0.0123153 0.0540881
1.5000 -0.5000 9.5000 0.172048 -0.0449799 -0.139903
1.5000 -0.5000 11.5000 0.0359973 -0.0329528 0.0784511
1.5000 1.5000 -0.5000 -0.212271 0.212271 0.0859497
1.5000 1.5000 1.5000 -0.0391008 0.212271 -0.212271
1.5000 1.5000 3.5000 0.0305713 -0.0248682 -0.212271
1.5000 1.5000 5.5000 0.0569122 -0.087156 -0.212271
1.5000 1.5000 7.5000 0.212271 -0.0884972 -0.212271
1.5000 1.5000 9.5000 0.212271 -0.130677 -0.0591896
1.5000 1.5000 11.5000 0.212271 -0.120926 0.212271
1.5000 3.5000 -0.5000 0.0628332 0.10557 -0.0471293
1.5000 3.5000 1.5000 0.0367689 0.184621 -0.0378412
1.5000 3.5000 3.5000 0.0311844 -0.0257838 0.0092896
1.5000 3.5000 5.5000 0.0681134 -0.0218691 -0.0660695
1.5000 3.5000 7.5000 0.212271 -0.0444718 0.166652
1.5000 3.5000 9.5000 0.212271 -0.0947479 0.212271
1.5000 3.5000 11.5000 0.212271 -0.147953 0.212271
3.5000 -0.5000 -0.5000 0.15212 -0.10395 -0.0872946
3.5000 -0.5000 1.5000 0.0251119 -0.00158808 -0.0369246
3.5000 -0.5000 3.5000 -0.206112 0.0125769 0.00958185
3.5000 -0.5000 5.5000 -0.212271 0.0625461 -0.015605
3.5000 -0.5000 7.5000 -0.136345 0.0139753 0.148086
3.5000 -0.5000 9.5000 0.212271 0.0432612 0.120812
3.5000 -0.5000 11.5000 -0.0325688 0.00634388 0.126131
3.5000 1.5000 -0.5000 0.106815 0.12787 -0.0464258
3.5000 1.5000 1.5000 0.00246366 0.129919 -0.0246651
3.5000 1.5000 3.5000 -0.212271 -0.083747 0.187405
3.5000 1.5000 5.5000 -0.212271 -0.00766472 0.212271
3.5000 1.5000 7.5000 -0.212271 0.0340568 0.212271
3.5000 1.5000 9.5000 -0.212271 0.212271 -0.212271
3.5000 1.5000 11.5000 -0.212271 0.212271 -0.212271
3.5000 3.5000 -0.5000 -0.0649839 -5.42438e-05 -0.0276415
3.5000 3.5000 1.5000 -0.0634334 0.0353247 -0.0285104
3.5000 3.5000 3.5000 -0.12125 -0.0434421 -0.000376287
3.5000 3.5000 5.5000 -0.0888156 0.0238253 -0.0851644
3.5000 3.5000 7.5000 -0.212271 0.0315784 0.212271
3.5000 3.5000 9.5000 -0.212271 0.212271 -0.212271
3.5000 3.5000 11.5000 -0.212271 0.151639 -0.212271
5.5000 -0.5000 -0.5000 0.0769755 -0.0316644 -0.0173857
5.5000 -0.5000 1.5000 -0.0852892 0.0892773 -0.0178928
5.5000 -0.5000 3.5000 -0.145053 0.0594806 -0.0452267
5.5000 -0.5000 5.5000 -0.151635 0.0599476 -0.184525
5.5000 -0.5000 7.5000 0.154687 -0.0799765 0.0588727
5.5000 -0.5000 9.5000 0.212271 -0.212271 0.212271
5.5000 -0.5000 11.5000 0.212271 -0.212271 0.212271
5.5000 1.5000 -0.5000 -0.0524055 0.00527659 -0.017788
5.5000 1.5000 1.5000 -0.212271 0.0272804 -0.0827107
5.5000 1.5000 3.5000 -0.212271 -0.00584068 0.00297869
5.5000 1.5000 5.5000 -0.212271 0.0656901 -0.130039
5.5000 1.5000 7.5000 -0.212271 -0.212271 0.212271
5.5000 1.5000 9.5000 -0.212271 0.212271 -0.212271
5.5000 1.5000 11.5000 -0.212271 0.212271 -0.212271
5.5000 3.5000 -0.5000 0.0843849 -0.0422532 0.0820051
5.5000 3.5000 1.5000 0.0327311 -0.0171353 0.0444226
5.5000 3.5000 3.5000 0.0550857 -0.0566916 0.113178
5.5000 3.5000 5.5000 0.212271 -0.0359349 0.0886911
5.5000 3.5000 7.5000 0.212271 -0.212271 0.212271
5.5000 3.5000 9.5000 -0.212271 0.212271 -0.212271
5.5000 3.5000 11.5000 0.212271 -0.0771757 0.212271
