# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm  dp_x_rad  dp_y_rad  dp_z_rad
299.5000 -0.5000 399.5000 -0.08 -0.08 -0.08 2.60957 -3.14159 -3.14159
299.5000 99.5000 -0.5000 -0.08 -0.08 -0.08 1.80798 -3.14159 -3.14159
299.5000 99.5000 99.5000 -0.08 -0.08 -0.08 -3.00587 1.19625 -2.66307
299.5000 99.5000 199.5000 -0.08 -0.08 -0.08 -1.69743 2.51161 -3.14159
299.5000 99.5000 299.5000 0.08 0.08 0.08 2.89118 0.0244578 3.14159
299.5000 99.5000 399.5000 0.08 0.08 0.08 0.94284 -1.42146 3.14159
299.5000 199.5000 -0.5000 0.05349 -0.08 0.0746552 3.14159 3.14159 3.14159
299.5000 199.5000 99.5000 -0.0419366 -0.0469124 -0.08 3.14159 3.14159 3.14159
299.5000 199.5000 199.5000 -0.08 -0.0738785 -0.08 -1.67553 2.61292 3.14159
299.5000 199.5000 299.5000 -0.08 -0.0784776 -0.08 3.14159 2.63796 1.92659
299.5000 199.5000 399.5000 -0.08 -0.08 -0.08 3.14159 2.6384 3.09239
299.5000 299.5000 -0.5000 -0.08 -0.08 -0.08 3.14159 2.65183 3.13944
299.5000 299.5000 99.5000 0.00353405 -0.08 -0.08 -2.9308 3.14159 2.34092
299.5000 299.5000 199.5000 -0.08 -0.08 -0.08 -1.34914 3.14159 2.54862
299.5000 299.5000 299.5000 0.079712 0.08 -0.00833348 1.73536 0.368354 2.6474
299.5000 299.5000 399.5000 0.08 -0.0187041 0.00827106 3.14159 0.0031933 2.83336
