iter       mode         J_meanT      J_obj        J_aug        DissPower     outletT    solid_frac  solid_g    flow_m3s   deltaP_m2s2  wall_thickness        g_meanT    pen_meanT  g_disspower  pen_disspower  mu_penalty        g_oh    pen_oh    mu_oh    grad_norm  delta_x    elapsed_s  alphaMax
  11  pressure        64.818       134.121       134.132       134.121       326.001      0.0970     0.0328     2.5e-07        0.6023          0.0410       334.8           0           nan              0       1e+04   0.01464    0.01055      6.192        1223       12.22      74.5     5e+06
  11  pressure        63.776       126.602       126.613       126.602       327.315      0.0965     0.0326     2.5e-07        0.5484          0.0410       333.8           0           nan              0       1e+04   0.01478     0.0107      6.192        1793       1.729      76.0     5e+06
  11  pressure        63.883       122.442       122.452       122.442       327.499      0.0962     0.0325     2.5e-07        0.5247          0.0410       333.9           0           nan              0       1e+04   0.01463    0.01041      6.192       560.7       0.815      77.3     5e+06
  11  pressure        63.782       121.752       121.762       121.752       326.684      0.0959     0.0324     2.5e-07        0.5196          0.0410       333.8           0           nan              0       1e+04   0.01452    0.01036      6.192       185.3      0.5355      74.8     5e+06
  11  pressure        63.652       121.661       121.671       121.661       326.409      0.0958     0.0324     2.5e-07        0.5195          0.0410       333.7           0           nan              0       1e+04   0.01456    0.01036      6.192       118.5      0.2237      75.6     5e+06
  11  pressure        63.598       121.631       121.641       121.631       326.305      0.0958     0.0324     2.5e-07        0.5196          0.0410       333.6           0           nan              0       1e+04   0.01455    0.01035      6.192       149.4     0.05775      77.1     5e+06
  11  pressure        63.588       121.626       121.636       121.626       326.283      0.0958     0.0324     2.5e-07        0.5196          0.0410       333.6           0           nan              0       1e+04   0.01455    0.01035      6.192       159.5     0.01305      74.5     5e+06
  11  pressure        63.587       121.625       121.635       121.625       326.278      0.0958     0.0324     2.5e-07        0.5196          0.0410       333.6           0           nan              0       1e+04   0.01455    0.01036      6.192       161.4    0.002742      76.1     5e+06
  11  pressure        63.586       121.625       121.635       121.625       326.277      0.0958     0.0324     2.5e-07        0.5196          0.0410       333.6           0           nan              0       1e+04   0.01455    0.01036      6.192       161.7   0.0005689      77.4     5e+06
  11  pressure        63.586       121.625       121.635       121.625       326.277      0.0958     0.0324     2.5e-07        0.5196          0.0410       333.6           0           nan              0       1e+04   0.01455    0.01036      6.192       161.6   0.0001167      74.9     5e+06
  11  pressure        63.586       121.625       121.635       121.625       326.277      0.0958     0.0324     2.5e-07        0.5196          0.0410       333.6           0           nan              0       1e+04   0.01455    0.01036      6.192       161.5   1.936e-05      76.6     5e+06
