# x_mm  y_mm  z_mm  dx_mm  dy_mm  dz_mm
5.2000 1.2000 -0.8000 0.0378331 0.133919 0.0849859
5.2000 1.2000 1.2000 0.109213 0.14163 0.139453
5.2000 1.2000 3.2000 -0.157237 -0.147243 0.0283714
5.2000 1.2000 5.2000 -0.152864 -0.153008 0.016347
5.2000 1.2000 7.2000 0.0741061 -0.159816 0.0696166
5.2000 1.2000 9.2000 0.0411091 -0.134647 0.151325
5.2000 1.2000 11.2000 0.0231038 -0.0622585 0.0213857
5.2000 3.2000 -0.8000 -0.136124 -0.131881 -0.08258
5.2000 3.2000 1.2000 -0.0502602 -0.0165718 -0.0511283
5.2000 3.2000 3.2000 -0.0310288 0.113023 -0.00683657
5.2000 3.2000 5.2000 0.0193736 0.145041 0.0017614
5.2000 3.2000 7.2000 0.0225393 0.145785 -0.0233221
5.2000 3.2000 9.2000 -0.0104984 0.106527 -0.0552183
5.2000 3.2000 11.2000 -0.0137304 0.0434445 -0.0342969
5.2000 5.2000 -0.8000 -0.0260025 0.000175165 -0.0125168
5.2000 5.2000 1.2000 0.0255886 0.0137605 0.00615045
5.2000 5.2000 3.2000 -0.00907204 -0.0130907 -0.00813466
5.2000 5.2000 5.2000 -0.00393772 -0.0211189 -0.00111723
5.2000 5.2000 7.2000 -0.00645208 -0.0191419 0.00126277
5.2000 5.2000 9.2000 -0.00236976 -0.0115923 0.00650384
5.2000 5.2000 11.2000 0.00210159 0.00980269 -0.000929509
